VarName,VarNumber,CodeValue,TableName,ORDINAL_POSITION,VarName1,CodeValue1,ValueLabel,Frequency,Percent
FIPS,10026,23,HD2024,8,FIPS,23,Maine,34,0.56
FIPS,10026,24,HD2024,8,FIPS,24,Maryland,78,1.285
FIPS,10026,25,HD2024,8,FIPS,25,Massachusetts,144,2.372
FIPS,10026,26,HD2024,8,FIPS,26,Michigan,160,2.635
FIPS,10026,27,HD2024,8,FIPS,27,Minnesota,95,1.565
FIPS,10026,28,HD2024,8,FIPS,28,Mississippi,54,0.889
FIPS,10026,29,HD2024,8,FIPS,29,Missouri,140,2.306
FIPS,10026,30,HD2024,8,FIPS,30,Montana,29,0.478
FIPS,10026,31,HD2024,8,FIPS,31,Nebraska,41,0.675
FIPS,10026,32,HD2024,8,FIPS,32,Nevada,41,0.675
FIPS,10026,33,HD2024,8,FIPS,33,New Hampshire,33,0.543
FIPS,10026,34,HD2024,8,FIPS,34,New Jersey,149,2.454
FIPS,10026,35,HD2024,8,FIPS,35,New Mexico,45,0.741
FIPS,10026,36,HD2024,8,FIPS,36,New York,408,6.719
FIPS,10026,37,HD2024,8,FIPS,37,North Carolina,163,2.684
FIPS,10026,38,HD2024,8,FIPS,38,North Dakota,25,0.412
FIPS,10026,39,HD2024,8,FIPS,39,Ohio,273,4.496
FIPS,10026,40,HD2024,8,FIPS,40,Oklahoma,98,1.614
FIPS,10026,41,HD2024,8,FIPS,41,Oregon,73,1.202
FIPS,10026,42,HD2024,8,FIPS,42,Pennsylvania,315,5.188
FIPS,10026,44,HD2024,8,FIPS,44,Rhode Island,21,0.346
FIPS,10026,45,HD2024,8,FIPS,45,South Carolina,90,1.482
FIPS,10026,46,HD2024,8,FIPS,46,South Dakota,27,0.445
FIPS,10026,47,HD2024,8,FIPS,47,Tennessee,143,2.355
FIPS,10026,48,HD2024,8,FIPS,48,Texas,403,6.637
FIPS,10026,49,HD2024,8,FIPS,49,Utah,61,1.005
FIPS,10026,50,HD2024,8,FIPS,50,Vermont,17,0.28
FIPS,10026,51,HD2024,8,FIPS,51,Virginia,147,2.421
FIPS,10026,53,HD2024,8,FIPS,53,Washington,97,1.597
FIPS,10026,54,HD2024,8,FIPS,54,West Virginia,68,1.12
FIPS,10026,55,HD2024,8,FIPS,55,Wisconsin,87,1.433
FIPS,10026,56,HD2024,8,FIPS,56,Wyoming,10,0.165
FIPS,10026,60,HD2024,8,FIPS,60,American Samoa,1,0.016
FIPS,10026,64,HD2024,8,FIPS,64,Federated States of Micronesia,1,0.016
FIPS,10026,66,HD2024,8,FIPS,66,Guam,3,0.049
FIPS,10026,68,HD2024,8,FIPS,68,Marshall Islands,1,0.016
FIPS,10026,69,HD2024,8,FIPS,69,Northern Marianas,1,0.016
FIPS,10026,70,HD2024,8,FIPS,70,Palau,1,0.016
FIPS,10026,72,HD2024,8,FIPS,72,Puerto Rico,129,2.125
FIPS,10026,78,HD2024,8,FIPS,78,Virgin Islands,1,0.016
OBEREG,10031,0,HD2024,9,OBEREG,0,US Service schools,7,0.115
OBEREG,10031,1,HD2024,9,OBEREG,1,New England CT ME MA NH RI VT,301,4.957
OBEREG,10031,2,HD2024,9,OBEREG,2,Mid East DE DC MD NJ NY PA,988,16.271
OBEREG,10031,3,HD2024,9,OBEREG,3,Great Lakes IL IN MI OH WI,869,14.312
OBEREG,10031,4,HD2024,9,OBEREG,4,Plains IA KS MN MO NE ND SD,480,7.905
OBEREG,10031,5,HD2024,9,OBEREG,5,Southeast AL AR FL GA KY LA MS NC SC TN VA WV,1502,24.736
OBEREG,10031,6,HD2024,9,OBEREG,6,Southwest AZ NM OK TX,656,10.804
OBEREG,10031,7,HD2024,9,OBEREG,7,Rocky Mountains CO ID MT UT WY,219,3.607
OBEREG,10031,8,HD2024,9,OBEREG,8,Far West AK CA HI NV OR WA,912,15.02
OBEREG,10031,9,HD2024,9,OBEREG,9,Outlying areas AS FM GU MH MP PR PW VI,138,2.273
OPEFLAG,10076,1,HD2024,16,OPEFLAG,1,Participates in Title IV federal financial aid programs,5760,94.862
OPEFLAG,10076,2,HD2024,16,OPEFLAG,2,Branch campus of a main campus that participates in Title IV,90,1.482
OPEFLAG,10076,3,HD2024,16,OPEFLAG,3,Deferment only - limited participation,26,0.428
OPEFLAG,10076,5,HD2024,16,OPEFLAG,5,"Not currently participating in Title IV, has an OPE ID number",156,2.569
OPEFLAG,10076,6,HD2024,16,OPEFLAG,6,"Not currently participating in Title IV, does not have OPE ID number",40,0.659
SECTOR,10086,0,HD2024,25,SECTOR,0,Administrative Unit,71,1.169
SECTOR,10086,1,HD2024,25,SECTOR,1,"Public, 4-year or above",848,13.966
SECTOR,10086,2,HD2024,25,SECTOR,2,"Private not-for-profit, 4-year or above",1618,26.647
SECTOR,10086,3,HD2024,25,SECTOR,3,"Private for-profit, 4-year or above",330,5.435
SECTOR,10086,4,HD2024,25,SECTOR,4,"Public, 2-year",838,13.801
SECTOR,10086,5,HD2024,25,SECTOR,5,"Private not-for-profit, 2-year",135,2.223
SECTOR,10086,6,HD2024,25,SECTOR,6,"Private for-profit, 2-year",510,8.399
SECTOR,10086,7,HD2024,25,SECTOR,7,"Public, less-than 2-year",230,3.788
SECTOR,10086,8,HD2024,25,SECTOR,8,"Private not-for-profit, less-than 2-year",57,0.939
SECTOR,10086,9,HD2024,25,SECTOR,9,"Private for-profit, less-than 2-year",1413,23.271
SECTOR,10086,99,HD2024,25,SECTOR,99,Sector unknown (not active),22,0.362
ICLEVEL,10091,1,HD2024,26,ICLEVEL,1,Four or more years,2851,46.953
ICLEVEL,10091,2,HD2024,26,ICLEVEL,2,At least 2 but less than 4 years,1499,24.687
ICLEVEL,10091,3,HD2024,26,ICLEVEL,3,Less than 2 years (below associate),1700,27.997
ICLEVEL,10091,-3,HD2024,26,ICLEVEL,-3,{Not available},22,0.362
CONTROL,10096,1,HD2024,27,CONTROL,1,Public,1980,32.609
CONTROL,10096,2,HD2024,27,CONTROL,2,Private not-for-profit,1813,29.858
CONTROL,10096,3,HD2024,27,CONTROL,3,Private for-profit,2257,37.171
CONTROL,10096,-3,HD2024,27,CONTROL,-3,{Not available},22,0.362
HLOFFER,10101,1,HD2024,28,HLOFFER,1,Award of less than one academic year,141,2.322
HLOFFER,10101,2,HD2024,28,HLOFFER,2,"At least 1, but less than 2 academic yrs",1558,25.659
HLOFFER,10101,3,HD2024,28,HLOFFER,3,Associate's degree,1020,16.798
HLOFFER,10101,4,HD2024,28,HLOFFER,4,"At least 2, but less than 4 academic yrs",479,7.889
HLOFFER,10101,5,HD2024,28,HLOFFER,5,Bachelor's degree,712,11.726
HLOFFER,10101,6,HD2024,28,HLOFFER,6,Postbaccalaureate certificate,13,0.214
HLOFFER,10101,7,HD2024,28,HLOFFER,7,Master's degree,680,11.199
HLOFFER,10101,8,HD2024,28,HLOFFER,8,Post-master's certificate,147,2.421
HLOFFER,10101,9,HD2024,28,HLOFFER,9,Doctor's degree,1299,21.393
HLOFFER,10101,-3,HD2024,28,HLOFFER,-3,{Not available},23,0.379
UGOFFER,10106,1,HD2024,29,UGOFFER,1,Undergraduate degree or certificate offering,5777,95.142
UGOFFER,10106,2,HD2024,29,UGOFFER,2,No undergraduate offering,272,4.48
UGOFFER,10106,-3,HD2024,29,UGOFFER,-3,{Not available},23,0.379
GROFFER,10111,1,HD2024,30,GROFFER,1,Graduate degree or certificate offering,2139,35.227
GROFFER,10111,2,HD2024,30,GROFFER,2,No graduate offering,3910,64.394
GROFFER,10111,-3,HD2024,30,GROFFER,-3,{Not available},23,0.379
HDEGOFR1,10122,11,HD2024,31,HDEGOFR1,11,Doctor's degree - research/scholarship and professional practice,586,9.651
HDEGOFR1,10122,12,HD2024,31,HDEGOFR1,12,Doctor's degree - research/scholarship,331,5.451
HDEGOFR1,10122,13,HD2024,31,HDEGOFR1,13,Doctor's degree -  professional practice,318,5.237
HDEGOFR1,10122,14,HD2024,31,HDEGOFR1,14,Doctor's degree - other,64,1.054
HDEGOFR1,10122,20,HD2024,31,HDEGOFR1,20,Master's degree,824,13.57
HDEGOFR1,10122,30,HD2024,31,HDEGOFR1,30,Bachelor's degree,721,11.874
HDEGOFR1,10122,40,HD2024,31,HDEGOFR1,40,Associates,1246,20.52
HDEGOFR1,10122,0,HD2024,31,HDEGOFR1,0,Non-degree granting,1960,32.279
HDEGOFR1,10122,-3,HD2024,31,HDEGOFR1,-3,{Not available},22,0.362
DEGGRANT,10126,1,HD2024,32,DEGGRANT,1,Degree-granting,4090,67.358
DEGGRANT,10126,2,HD2024,32,DEGGRANT,2,"Nondegree-granting, primarily postsecondary",1960,32.279
DEGGRANT,10126,-3,HD2024,32,DEGGRANT,-3,{Not available},22,0.362
HBCU,10151,1,HD2024,33,HBCU,1,Yes,102,1.68
HBCU,10151,2,HD2024,33,HBCU,2,No,5970,98.32
HOSPITAL,10156,1,HD2024,34,HOSPITAL,1,Yes,92,1.515
HOSPITAL,10156,2,HD2024,34,HOSPITAL,2,No,2535,41.749
HOSPITAL,10156,-1,HD2024,34,HOSPITAL,-1,Not reported,16,0.264
HOSPITAL,10156,-2,HD2024,34,HOSPITAL,-2,Not applicable,3429,56.472
MEDICAL,10161,1,HD2024,35,MEDICAL,1,Yes,210,3.458
MEDICAL,10161,2,HD2024,35,MEDICAL,2,No,5664,93.281
MEDICAL,10161,-1,HD2024,35,MEDICAL,-1,Not reported,43,0.708
MEDICAL,10161,-2,HD2024,35,MEDICAL,-2,Not applicable,155,2.553
TRIBAL,10166,1,HD2024,36,TRIBAL,1,Yes,35,0.576
TRIBAL,10166,2,HD2024,36,TRIBAL,2,No,6037,99.424
LOCALE,10176,11,HD2024,37,LOCALE,11,City: Large,1458,24.012
LOCALE,10176,12,HD2024,37,LOCALE,12,City: Midsize,734,12.088
LOCALE,10176,13,HD2024,37,LOCALE,13,City: Small,793,13.06
LOCALE,10176,21,HD2024,37,LOCALE,21,Suburb: Large,1477,24.325
LOCALE,10176,22,HD2024,37,LOCALE,22,Suburb: Midsize,165,2.717
LOCALE,10176,23,HD2024,37,LOCALE,23,Suburb: Small,98,1.614
LOCALE,10176,31,HD2024,37,LOCALE,31,Town: Fringe,109,1.795
LOCALE,10176,32,HD2024,37,LOCALE,32,Town: Distant,401,6.604
LOCALE,10176,33,HD2024,37,LOCALE,33,Town: Remote,288,4.743
LOCALE,10176,41,HD2024,37,LOCALE,41,Rural: Fringe,301,4.957
LOCALE,10176,42,HD2024,37,LOCALE,42,Rural: Distant,140,2.306
LOCALE,10176,43,HD2024,37,LOCALE,43,Rural: Remote,105,1.729
LOCALE,10176,-3,HD2024,37,LOCALE,-3,{Not available},3,0.049
OPENPUBL,10181,1,HD2024,38,OPENPUBL,1,Institution is open to the public,6070,99.967
OPENPUBL,10181,0,HD2024,38,OPENPUBL,0,Institution is not open to the public,2,0.033
ACT,10186,A,HD2024,39,ACT,A,Active - institution active ,5927,97.612
ACT,10186,N,HD2024,39,ACT,N,New - added during the current year,46,0.758
ACT,10186,R,HD2024,39,ACT,R,Restore - restored to the current universe,3,0.049
ACT,10186,M,HD2024,39,ACT,M,Closed in current year (active has data),18,0.296
ACT,10186,C,HD2024,39,ACT,C,Combined with other institution,2,0.033
ACT,10186,D,HD2024,39,ACT,D,Delete out of business,51,0.84
ACT,10186,G,HD2024,39,ACT,G,"Perfect child campus - data reported with main campus, but is listed on college navigator",25,0.412
DEATHYR,10196,2024,HD2024,41,DEATHYR,2024,2024,69,1.136
DEATHYR,10196,2025,HD2024,41,DEATHYR,2025,2025,2,0.033
DEATHYR,10196,-2,HD2024,41,DEATHYR,-2,Not applicable,6001,98.831
CYACTIVE,10206,1,HD2024,43,CYACTIVE,1,Yes,5994,98.715
CYACTIVE,10206,3,HD2024,43,CYACTIVE,3,"No, closed, combined, or out-of-scope",78,1.285
POSTSEC,10211,1,HD2024,44,POSTSEC,1,Primarily postsecondary institution,6043,99.522
POSTSEC,10211,2,HD2024,44,POSTSEC,2,Not primarily postsecondary,29,0.478
PSEFLAG,10216,1,HD2024,45,PSEFLAG,1,Active postsecondary institution,5963,98.205
PSEFLAG,10216,2,HD2024,45,PSEFLAG,2,Not primarily postsecondary or open to public,31,0.511
PSEFLAG,10216,3,HD2024,45,PSEFLAG,3,Not active,78,1.285
PSET4FLG,10221,1,HD2024,46,PSET4FLG,1,Title IV postsecondary institution,5800,95.52
PSET4FLG,10221,2,HD2024,46,PSET4FLG,2,"Non-Title IV postsecondary institution
",163,2.684
PSET4FLG,10221,3,HD2024,46,PSET4FLG,3,"Title IV NOT primarily postsecondary institution
",29,0.478
PSET4FLG,10221,6,HD2024,46,PSET4FLG,6,"Non-Title IV postsecondary institution that is NOT open to the public
",2,0.033
PSET4FLG,10221,9,HD2024,46,PSET4FLG,9,"Institution is not active in current universe
",78,1.285
RPTMTH,15055,1,HD2024,47,RPTMTH,1,Student charges for full academic year and fall GR/SFA/retention rate cohort,3633,59.832
RPTMTH,15055,3,HD2024,47,RPTMTH,3,Student charges for full academic year and full-year GR/SFA/retention rate cohort,162,2.668
RPTMTH,15055,2,HD2024,47,RPTMTH,2,Student charges by program and full-year GR/SFA/retention rate cohort,2095,34.503
RPTMTH,15055,-1,HD2024,47,RPTMTH,-1,Not reported,36,0.593
RPTMTH,15055,-2,HD2024,47,RPTMTH,-2,Not applicable,146,2.404
INSTCAT,15210,1,HD2024,48,INSTCAT,1,"Degree-granting, graduate with no undergraduate degrees",284,4.677
INSTCAT,15210,2,HD2024,48,INSTCAT,2,"Degree-granting, primarily baccalaureate or above",1989,32.757
INSTCAT,15210,3,HD2024,48,INSTCAT,3,"Degree-granting, not primarily baccalaureate or above",486,8.004
INSTCAT,15210,4,HD2024,48,INSTCAT,4,"Degree-granting, associate's and certificates 
",1213,19.977
INSTCAT,15210,5,HD2024,48,INSTCAT,5,"Nondegree-granting, above the baccalaureate",5,0.082
INSTCAT,15210,6,HD2024,48,INSTCAT,6,"Nondegree-granting, sub-baccalaureate",1910,31.456
INSTCAT,15210,-1,HD2024,48,INSTCAT,-1,Not reported,37,0.609
INSTCAT,15210,-2,HD2024,48,INSTCAT,-2,Not applicable,148,2.437
C00CARNEGIE,10300,-2,HD2024,49,C00CARNEGIE,-2,"Not classified, not in classification universe",3109,51.202
C00CARNEGIE,10300,15,HD2024,49,C00CARNEGIE,15,Doctoral/Research Universities—Extensive,151,2.487
C00CARNEGIE,10300,16,HD2024,49,C00CARNEGIE,16,Doctoral/Research Universities—Intensive,104,1.713
C00CARNEGIE,10300,21,HD2024,49,C00CARNEGIE,21,Master's Colleges and Universities I,464,7.642
C00CARNEGIE,10300,22,HD2024,49,C00CARNEGIE,22,Master's Colleges and Universities II,97,1.597
C00CARNEGIE,10300,31,HD2024,49,C00CARNEGIE,31,Baccalaureate Colleges—Liberal Arts,213,3.508
C00CARNEGIE,10300,32,HD2024,49,C00CARNEGIE,32,Baccalaureate Colleges—General,282,4.644
C00CARNEGIE,10300,33,HD2024,49,C00CARNEGIE,33,Baccalaureate/Associate's Colleges,37,0.609
C00CARNEGIE,10300,40,HD2024,49,C00CARNEGIE,40,Associate's Colleges,1112,18.314
C00CARNEGIE,10300,51,HD2024,49,C00CARNEGIE,51,Specialized Institutions—Theological seminaries and other specialized faith-related institutions,205,3.376
C00CARNEGIE,10300,52,HD2024,49,C00CARNEGIE,52,Specialized Institutions—Medical schools and medical centers,40,0.659
C00CARNEGIE,10300,53,HD2024,49,C00CARNEGIE,53,Specialized Institutions—Other separate health profession schools,66,1.087
C00CARNEGIE,10300,54,HD2024,49,C00CARNEGIE,54,Specialized Institutions—Schools of engineering and technology,20,0.329
C00CARNEGIE,10300,55,HD2024,49,C00CARNEGIE,55,Specialized Institutions—Schools of business and management,25,0.412
C00CARNEGIE,10300,56,HD2024,49,C00CARNEGIE,56,"Specialized Institutions—Schools of art, music, and design",56,0.922
C00CARNEGIE,10300,57,HD2024,49,C00CARNEGIE,57,Specialized Institutions—Schools of law,16,0.264
C00CARNEGIE,10300,58,HD2024,49,C00CARNEGIE,58,Specialized Institutions—Teachers colleges,5,0.082
C00CARNEGIE,10300,59,HD2024,49,C00CARNEGIE,59,Specialized Institutions—Other specialized institutions,39,0.642
C00CARNEGIE,10300,60,HD2024,49,C00CARNEGIE,60,Tribal colleges and universities,31,0.511
C21BASIC,15620,1,HD2024,50,C21BASIC,1,Associate's Colleges: High Transfer-High Traditional,106,1.746
C21BASIC,15620,2,HD2024,50,C21BASIC,2,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,101,1.663
C21BASIC,15620,3,HD2024,50,C21BASIC,3,Associate's Colleges: High Transfer-High Nontraditional,106,1.746
C21BASIC,15620,4,HD2024,50,C21BASIC,4,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,96,1.581
C21BASIC,15620,5,HD2024,50,C21BASIC,5,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,95,1.565
C21BASIC,15620,6,HD2024,50,C21BASIC,6,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,114,1.877
C21BASIC,15620,7,HD2024,50,C21BASIC,7,Associate's Colleges: High Career & Technical-High Traditional,103,1.696
C21BASIC,15620,8,HD2024,50,C21BASIC,8,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,116,1.91
C21BASIC,15620,9,HD2024,50,C21BASIC,9,Associate's Colleges: High Career & Technical-High Nontraditional,88,1.449
C21BASIC,15620,10,HD2024,50,C21BASIC,10,Special Focus Two-Year: Health Professions,195,3.211
C21BASIC,15620,11,HD2024,50,C21BASIC,11,Special Focus Two-Year: Technical Professions,49,0.807
C21BASIC,15620,12,HD2024,50,C21BASIC,12,Special Focus Two-Year: Arts & Design,28,0.461
C21BASIC,15620,13,HD2024,50,C21BASIC,13,Special Focus Two-Year: Other Fields,47,0.774
C21BASIC,15620,14,HD2024,50,C21BASIC,14,Baccalaureate/Associate's Colleges: Associate's Dominant,100,1.647
C21BASIC,15620,15,HD2024,50,C21BASIC,15,Doctoral Universities: Highest Research Activity,146,2.404
C21BASIC,15620,16,HD2024,50,C21BASIC,16,Doctoral Universities: Higher Research Activity,133,2.19
C21BASIC,15620,17,HD2024,50,C21BASIC,17,"Doctoral/Professional Universities
",185,3.047
C21BASIC,15620,18,HD2024,50,C21BASIC,18,Master's Colleges & Universities: Larger Programs,318,5.237
C21BASIC,15620,19,HD2024,50,C21BASIC,19,Master's Colleges & Universities: Medium Programs,181,2.981
C21BASIC,15620,20,HD2024,50,C21BASIC,20,Master's Colleges & Universities: Small Programs,153,2.52
C21BASIC,15620,21,HD2024,50,C21BASIC,21,Baccalaureate Colleges: Arts & Sciences Focus,219,3.607
C21BASIC,15620,22,HD2024,50,C21BASIC,22,Baccalaureate Colleges: Diverse Fields,283,4.661
C21BASIC,15620,23,HD2024,50,C21BASIC,23,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,94,1.548
C21BASIC,15620,24,HD2024,50,C21BASIC,24,Special Focus Four-Year: Faith-Related Institutions,239,3.936
C21BASIC,15620,25,HD2024,50,C21BASIC,25,Special Focus Four-Year: Medical Schools & Centers,38,0.626
C21BASIC,15620,26,HD2024,50,C21BASIC,26,Special Focus Four-Year: Other Health Professions Schools,231,3.804
C21BASIC,15620,27,HD2024,50,C21BASIC,27,Special Focus Four-Year: Research Institutions,22,0.362
C21BASIC,15620,28,HD2024,50,C21BASIC,28,Special Focus Four-Year: Engineering and Other Technology-Related Schools,12,0.198
C21BASIC,15620,29,HD2024,50,C21BASIC,29,Special Focus Four-Year: Business & Management Schools,43,0.708
C21BASIC,15620,30,HD2024,50,C21BASIC,30,"Special Focus Four-Year: Arts, Music & Design Schools",60,0.988
C21BASIC,15620,31,HD2024,50,C21BASIC,31,Special Focus Four-Year: Law Schools,30,0.494
C21BASIC,15620,32,HD2024,50,C21BASIC,32,Special Focus Four-Year: Other Special Focus Institutions,21,0.346
C21BASIC,15620,33,HD2024,50,C21BASIC,33,Tribal Colleges,35,0.576
C21BASIC,15620,-2,HD2024,50,C21BASIC,-2,"Not applicable, not in Carnegie universe (not accredited or nondegree-granting)",2285,37.632
CARNEGIEIC,10305,-2,HD2024,51,CARNEGIEIC,-2,Not classified,2157,35.524
CARNEGIEIC,10305,1,HD2024,51,CARNEGIEIC,1,Mixed Associate Large,78,1.285
CARNEGIEIC,10305,2,HD2024,51,CARNEGIEIC,2,Mixed Associate Medium,265,4.364
CARNEGIEIC,10305,3,HD2024,51,CARNEGIEIC,3,Mixed Associate Small,204,3.36
CARNEGIEIC,10305,4,HD2024,51,CARNEGIEIC,4,Mixed Associate/Baccalaureate,51,0.84
CARNEGIEIC,10305,5,HD2024,51,CARNEGIEIC,5,Mixed Baccalaureate,82,1.35
CARNEGIEIC,10305,6,HD2024,51,CARNEGIEIC,6,Mixed Undergraduate/Graduate-Doctorate Large,107,1.762
CARNEGIEIC,10305,7,HD2024,51,CARNEGIEIC,7,Mixed Undergraduate/Graduate-Doctorate Medium,100,1.647
CARNEGIEIC,10305,8,HD2024,51,CARNEGIEIC,8,Mixed Undergraduate/Graduate-Doctorate Small,30,0.494
CARNEGIEIC,10305,9,HD2024,51,CARNEGIEIC,9,Mixed Undergraduate/Graduate-Master's Large/Medium,87,1.433
CARNEGIEIC,10305,10,HD2024,51,CARNEGIEIC,10,Mixed Undergraduate/Graduate-Master's Small,39,0.642
CARNEGIEIC,10305,11,HD2024,51,CARNEGIEIC,11,Professions-focused Associate Large/Medium,193,3.179
CARNEGIEIC,10305,12,HD2024,51,CARNEGIEIC,12,Professions-focused Associate Small,168,2.767
CARNEGIEIC,10305,13,HD2024,51,CARNEGIEIC,13,Professions-focused Associate/Baccalaureate,50,0.823
CARNEGIEIC,10305,14,HD2024,51,CARNEGIEIC,14,Professions-focused Baccalaureate Medium,53,0.873
